Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
370,Leody Taveras#,26,SEA,AL,-0.6,28,98,92,6,16,3,0,2,9,3,2,3,27,0.174,0.198,0.272,0.47,34,0.21,31,25,0,0,2,1,0,9/8H,
371,Donovan Solano,37,2TM,AL,-0.1,71,179,166,10,41,4,1,3,21,0,0,8,40,0.247,0.291,0.337,0.628,82,0.28,81,56,9,3,0,2,0,3H/45,
371,Donovan Solano,37,SEA,AL,0,69,176,163,10,41,4,1,3,21,0,0,8,38,0.252,0.295,0.344,0.639,85,0.284,84,56,9,3,0,2,0,3H/5,
371,Donovan Solano,37,TEX,AL,-0.1,2,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-118,0,0,0,0,0,0,/4,
372,Jack Suwinski*,26,PIT,NL,-0.4,59,178,150,15,22,7,0,3,10,7,1,24,57,0.147,0.281,0.253,0.534,49,0.258,49,38,1,4,0,0,1,879/HD,
373,Alejandro Osuna*,22,TEX,AL,0.1,63,176,151,12,32,4,0,2,15,5,4,21,34,0.212,0.313,0.278,0.591,75,0.264,78,42,1,2,0,2,1,79/DH8,
374,Miles Mastrobuoni*,29,SEA,AL,0.2,76,175,152,20,38,4,0,1,12,6,3,17,29,0.25,0.324,0.296,0.62,82,0.279,80,45,2,0,5,1,0,H5497/13D,
375,John Rave*,27,KCR,AL,0.1,72,175,153,18,30,5,0,4,14,7,2,18,46,0.196,0.283,0.307,0.59,66,0.266,61,47,1,1,2,1,0,978/HD,
376,Tyler Heineman#,34,TOR,AL,1.9,61,174,149,25,43,8,1,3,20,2,0,12,31,0.289,0.361,0.416,0.777,113,0.339,111,62,1,6,5,2,0,2/H1,
377,Johan Rojas,24,PHI,NL,0.5,71,172,152,23,34,3,2,1,18,12,2,13,40,0.224,0.28,0.289,0.569,56,0.271,53,44,2,0,4,3,0,8H/D,
