Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
281,Calvin Faucher,29,MIA,NL,0.8,4,4,0.5,3.28,65,0,29,0,0,15,60.1,53,27,22,8,24,0,59,3,0,2,255,131,4.25,1.276,7.9,1.2,3.6,8.8,2.46,
282,Matt Svanson,26,STL,NL,1.7,4,0,1,1.94,39,0,10,0,0,0,60.1,33,14,13,3,20,0,68,4,0,1,234,213,2.72,0.878,4.9,0.4,3,10.1,3.4,
283,Gregory Soto*,30,2TM,2LG,-0.1,1,5,0.167,4.18,70,0,13,0,0,1,60.1,62,33,28,4,24,1,70,11,0,10,279,98,3.42,1.425,9.2,0.6,3.6,10.4,2.92,
283,Gregory Soto*,30,BAL,AL,0.4,0,2,0,3.96,45,0,10,0,0,1,36.1,29,17,16,2,18,1,44,5,0,7,160,102,3.33,1.294,7.2,0.5,4.5,10.9,2.44,
283,Gregory Soto*,30,NYM,NL,-0.4,1,3,0.25,4.5,25,0,3,0,0,0,24,33,16,12,2,6,0,26,6,0,3,119,92,3.55,1.625,12.4,0.8,2.3,9.8,4.33,
284,Rafael Montero,34,3TM,2LG,-0.2,1,2,0.333,4.48,59,0,23,0,0,0,60.1,42,34,30,5,37,2,58,0,0,0,253,93,4.13,1.309,6.3,0.7,5.5,8.7,1.57,
284,Rafael Montero,34,2TM,AL,0.3,1,1,0.5,3.12,23,0,12,0,0,0,26,15,12,9,2,16,0,24,0,0,0,103,137,4.14,1.192,5.2,0.7,5.5,8.3,1.5,
284,Rafael Montero,34,HOU,AL,0,0,0,,4.5,3,0,2,0,0,0,4,3,2,2,0,2,0,5,0,0,0,16,100,2.14,1.25,6.8,0,4.5,11.3,2.5,
284,Rafael Montero,34,ATL,NL,-0.4,0,1,0,5.5,36,0,11,0,0,0,34.1,27,22,21,3,21,2,34,0,0,0,150,74,4.13,1.398,7.1,0.8,5.5,8.9,1.62,
284,Rafael Montero,34,DET,AL,0.2,1,1,0.5,2.86,20,0,10,0,0,0,22,12,10,7,2,14,0,19,0,0,0,87,147,4.5,1.182,4.9,0.8,5.7,7.8,1.36,
285,Brenan Hanifee,27,DET,AL,0,3,3,0.5,3,54,0,11,0,0,0,60,65,31,20,3,14,2,40,2,0,2,260,139,3.25,1.317,9.8,0.5,2.1,6,2.86,
286,Orion Kerkering,24,PHI,NL,0.9,8,4,0.667,3.3,69,0,12,0,0,4,60,55,28,22,6,27,3,65,4,0,5,266,135,3.82,1.367,8.3,0.9,4.1,9.8,2.41,
287,Justin Topa,34,MIN,AL,0.4,1,5,0.167,3.9,54,1,17,0,0,4,60,68,32,26,2,18,3,49,4,0,0,268,109,3.04,1.433,10.2,0.3,2.7,7.4,2.72,
288,Alex Vesia*,29,LAD,NL,1.1,4,2,0.667,3.02,68,0,11,0,0,5,59.2,37,21,20,9,22,3,80,5,0,3,237,137,3.77,0.989,5.6,1.4,3.3,12.1,3.64,
289,Kenley Jansen,37,LAA,AL,2.2,5,4,0.556,2.59,62,0,47,0,0,29,59,37,18,17,8,19,2,57,1,3,0,234,160,3.98,0.949,5.6,1.2,2.9,8.7,3,
290,Pierce Johnson,34,ATL,NL,1.1,3,3,0.5,3.05,65,0,13,0,0,1,59,52,21,20,8,19,2,59,1,0,2,238,134,3.91,1.203,7.9,1.2,2.9,9,3.11,
291,Bradley Blalock,24,COL,NL,-1.6,2,6,0.25,9.36,14,12,2,0,0,0,58.2,85,61,61,17,23,1,27,3,0,2,275,52,7.31,1.841,13,2.6,3.5,4.1,1.17,
292,Angel Chivilli,22,COL,NL,-0.7,1,5,0.167,7.06,43,0,7,0,0,0,58.2,76,49,46,13,23,1,43,6,0,4,275,69,6.03,1.688,11.7,2,3.5,6.6,1.87,
293,Yennier Cano,31,BAL,AL,-0.4,3,7,0.3,5.12,65,0,11,0,0,2,58,62,36,33,7,24,1,53,3,1,2,251,79,4.27,1.483,9.6,1.1,3.7,8.2,2.21,
294,Tyler Ferguson,31,ATH,AL,0.4,4,2,0.667,4.66,56,0,10,0,0,2,58,43,32,30,4,34,2,54,4,0,1,246,93,4.14,1.328,6.7,0.6,5.3,8.4,1.59,
295,Caleb Thielbar*,38,CHC,NL,1.1,3,4,0.429,2.64,67,0,4,0,0,1,58,38,17,17,5,13,1,56,0,0,0,220,148,3,0.879,5.9,0.8,2,8.7,4.31,
296,Austin Gomber*,31,COL,NL,-0.7,0,7,0,7.49,12,12,0,0,0,0,57.2,82,51,48,16,17,0,34,1,0,4,272,65,6.5,1.717,12.8,2.5,2.7,5.3,2,
297,Brandon Young,26,BAL,AL,-0.7,1,7,0.125,6.24,12,12,0,0,0,0,57.2,67,42,40,12,22,0,47,0,0,0,256,65,5.35,1.543,10.5,1.9,3.4,7.3,2.14,
298,Jalen Beeks*,31,ARI,NL,0.8,5,3,0.625,3.77,61,2,10,0,0,1,57.1,42,26,24,6,20,2,47,2,0,1,231,114,4.01,1.081,6.6,0.9,3.1,7.4,2.35,
299,Luis Gil,27,NYY,AL,1.1,4,1,0.8,3.32,11,11,0,0,0,0,57,47,23,21,5,33,0,41,1,2,4,244,124,4.63,1.404,7.4,0.8,5.2,6.5,1.24,
300,Tanner Scott*,30,LAD,NL,-0.6,1,4,0.2,4.74,61,0,33,0,0,23,57,54,33,30,11,18,2,60,4,0,2,238,87,4.7,1.263,8.5,1.7,2.8,9.5,3.33,
301,Ian Seymour*,26,TBR,AL,-0.1,4,3,0.571,3.63,19,5,7,0,0,0,57,48,33,23,5,19,1,64,3,0,0,242,115,3.19,1.175,7.6,0.8,3,10.1,3.37,
302,Ryan Zeferjahn,27,LAA,AL,0.5,6,5,0.545,4.74,62,1,7,0,0,2,57,49,31,30,12,35,3,73,4,0,3,257,88,5.36,1.474,7.7,1.9,5.5,11.5,2.09,
303,Kyle Finnegan,33,2TM,2LG,1.1,4,4,0.5,3.47,56,0,38,0,0,24,57,45,24,22,4,18,2,55,1,0,6,229,121,3.12,1.105,7.1,0.6,2.8,8.7,3.06,
303,Kyle Finnegan,33,WSN,NL,0.3,1,4,0.2,4.38,40,0,34,0,0,20,39,36,21,19,3,14,2,32,1,0,5,163,95,3.65,1.282,8.3,0.7,3.2,7.4,2.29,
303,Kyle Finnegan,33,DET,AL,0.8,3,0,1,1.5,16,0,4,0,0,4,18,9,3,3,1,4,0,23,0,0,1,66,281,1.97,0.722,4.5,0.5,2,11.5,5.75,
304,Tristan Beck,29,SFG,NL,0.1,1,0,1,4.61,31,1,9,0,0,2,56.2,47,29,29,7,16,0,41,2,0,3,232,87,4.25,1.112,7.5,1.1,2.5,6.5,2.56,
305,Nick Mears,28,MIL,NL,0.5,5,3,0.625,3.49,63,0,4,0,0,1,56.2,42,25,22,7,13,1,46,1,0,2,221,120,3.86,0.971,6.7,1.1,2.1,7.3,3.54,
306,Hurston Waldrep,23,ATL,NL,1.4,6,1,0.857,2.88,10,9,0,0,0,0,56.1,45,18,18,3,22,1,55,3,0,0,229,142,3.21,1.189,7.2,0.5,3.5,8.8,2.5,
